PROPERTY_ID,ADDRESS,CITY
1,Sky Estate Sector 38,Chennai
2,Sky Heights Sector 27,Hyderabad
3,Silver Estate Sector 57,Mumbai
4,Blue Apartments Sector 95,Ahmedabad
5,Green Villa Sector 4,Pune
6,Sky Apartments Sector 77,Delhi
7,Golden Residency Sector 35,Kolkata
8,Sky Villa Sector 90,Hyderabad
9,Sky Villa Sector 50,Pune
10,Sky Heights Sector 13,Ahmedabad
11,Silver Villa Sector 73,Bangalore
12,Blue Estate Sector 7,Delhi
13,Golden Villa Sector 92,Chennai
14,Sky Residency Sector 87,Delhi
15,Green Tower Sector 75,Hyderabad
16,Green Heights Sector 24,Bangalore
17,Pearl Tower Sector 37,Jaipur
18,Pearl Tower Sector 83,Noida
19,Silver Villa Sector 5,Jaipur
20,Golden Tower Sector 78,Bangalore
21,Pearl Estate Sector 86,Kolkata
22,Sky Apartments Sector 91,Noida
23,Golden Apartments Sector 82,Kolkata
24,Golden Estate Sector 40,Chennai
25,Sky Tower Sector 49,Kolkata
26,Blue Apartments Sector 58,Noida
27,Silver Residency Sector 99,Delhi
28,Blue Estate Sector 32,Delhi
29,Golden Heights Sector 54,Ahmedabad
30,Sky Residency Sector 48,Jaipur
31,Golden Heights Sector 69,Delhi
32,Golden Estate Sector 4,Pune
33,Silver Estate Sector 28,Pune
34,Blue Estate Sector 63,Kolkata
35,Pearl Residency Sector 95,Bangalore
36,Pearl Residency Sector 44,Chennai
37,Pearl Apartments Sector 40,Jaipur
38,Blue Villa Sector 13,Kolkata
39,Pearl Estate Sector 78,Delhi
40,Sky Residency Sector 46,Hyderabad
41,Green Tower Sector 98,Hyderabad
42,Blue Heights Sector 76,Ahmedabad
43,Pearl Villa Sector 85,Bangalore
44,Golden Residency Sector 44,Hyderabad
45,Sky Heights Sector 16,Jaipur
46,Pearl Estate Sector 65,Kolkata
47,Silver Residency Sector 94,Noida
48,Sky Apartments Sector 20,Chennai
49,Pearl Tower Sector 30,Delhi
50,Silver Estate Sector 41,Chennai
51,Sky Heights Sector 23,Noida
52,Blue Tower Sector 33,Pune
53,Sky Villa Sector 76,Ahmedabad
54,Silver Heights Sector 32,Bangalore
55,Pearl Tower Sector 38,Ahmedabad
56,Blue Villa Sector 60,Chennai
57,Sky Estate Sector 27,Mumbai
58,Pearl Heights Sector 9,Noida
59,Golden Estate Sector 24,Jaipur
60,Silver Villa Sector 36,Kolkata
61,Pearl Tower Sector 95,Bangalore
62,Silver Estate Sector 100,Mumbai
63,Pearl Apartments Sector 55,Mumbai
64,Green Residency Sector 26,Noida
65,Golden Tower Sector 44,Ahmedabad
66,Golden Residency Sector 67,Bangalore
67,Pearl Residency Sector 44,Chennai
68,Silver Estate Sector 73,Chennai
69,Pearl Estate Sector 53,Jaipur
70,Pearl Heights Sector 35,Pune
71,Blue Villa Sector 6,Pune
72,Golden Apartments Sector 14,Bangalore
73,Sky Heights Sector 72,Pune
74,Blue Apartments Sector 61,Kolkata
75,Pearl Apartments Sector 40,Bangalore
76,Silver Apartments Sector 100,Noida
77,Green Tower Sector 17,Delhi
78,Green Heights Sector 46,Delhi
79,Silver Estate Sector 34,Pune
80,Sky Tower Sector 66,Mumbai
81,Blue Estate Sector 18,Kolkata
82,Sky Apartments Sector 25,Ahmedabad
83,Golden Tower Sector 61,Chennai
84,Silver Residency Sector 6,Bangalore
85,Blue Residency Sector 100,Bangalore
86,Blue Estate Sector 50,Jaipur
87,Green Heights Sector 5,Bangalore
88,Silver Heights Sector 27,Noida
89,Green Residency Sector 4,Mumbai
90,Blue Tower Sector 87,Jaipur
91,Golden Tower Sector 63,Delhi
92,Green Residency Sector 19,Delhi
93,Green Tower Sector 82,Hyderabad
94,Silver Heights Sector 32,Mumbai
95,Blue Apartments Sector 82,Bangalore
96,Silver Tower Sector 41,Chennai
97,Pearl Heights Sector 31,Delhi
98,Golden Residency Sector 9,Kolkata
99,Golden Apartments Sector 48,Pune
100,Silver Apartments Sector 87,Delhi
101,Silver Residency Sector 48,Jaipur
102,Pearl Estate Sector 17,Kolkata
103,Pearl Estate Sector 84,Kolkata
104,Blue Estate Sector 6,Bangalore
105,Sky Heights Sector 64,Pune
106,Sky Estate Sector 10,Kolkata
107,Silver Villa Sector 38,Noida
108,Green Heights Sector 67,Chennai
109,Golden Heights Sector 22,Chennai
110,Pearl Heights Sector 16,Ahmedabad
111,Pearl Tower Sector 63,Bangalore
112,Green Heights Sector 23,Jaipur
113,Golden Residency Sector 19,Mumbai
114,Pearl Villa Sector 24,Delhi
115,Golden Estate Sector 36,Mumbai
116,Green Villa Sector 31,Delhi
117,Pearl Apartments Sector 97,Pune
118,Blue Apartments Sector 72,Kolkata
119,Green Residency Sector 23,Mumbai
120,Golden Tower Sector 27,Jaipur
121,Pearl Residency Sector 96,Pune
122,Green Estate Sector 77,Noida
123,Sky Tower Sector 10,Hyderabad
124,Blue Apartments Sector 12,Pune
125,Green Estate Sector 18,Ahmedabad
126,Blue Apartments Sector 46,Delhi
127,Pearl Heights Sector 91,Bangalore
128,Silver Tower Sector 82,Chennai
129,Silver Heights Sector 34,Ahmedabad
130,Golden Villa Sector 99,Hyderabad
131,Blue Residency Sector 13,Kolkata
132,Pearl Apartments Sector 34,Noida
133,Green Heights Sector 1,Ahmedabad
134,Silver Villa Sector 36,Ahmedabad
135,Golden Residency Sector 20,Hyderabad
136,Green Heights Sector 84,Bangalore
137,Golden Estate Sector 48,Delhi
138,Green Tower Sector 21,Delhi
139,Blue Estate Sector 65,Kolkata
140,Pearl Apartments Sector 3,Pune
141,Sky Villa Sector 45,Kolkata
142,Silver Estate Sector 35,Noida
143,Blue Apartments Sector 15,Chennai
144,Pearl Estate Sector 80,Noida
145,Blue Residency Sector 33,Delhi
146,Golden Heights Sector 31,Chennai
147,Green Residency Sector 66,Hyderabad
148,Silver Residency Sector 76,Ahmedabad
149,Silver Villa Sector 82,Delhi
150,Blue Estate Sector 60,Mumbai
151,Blue Tower Sector 1,Ahmedabad
152,Sky Residency Sector 93,Hyderabad
153,Blue Heights Sector 78,Mumbai
154,Green Heights Sector 9,Kolkata
155,Golden Villa Sector 45,Pune
156,Pearl Estate Sector 12,Bangalore
