ROOM_ID,PROPERTY_ID,ROOM_TYPE
1,1,Living Room
2,1,Dining Room
3,1,Bathroom
4,1,Balcony
5,1,Bathroom
6,1,Balcony
7,1,Bathroom
8,1,Living Room
9,1,Guest Room
10,1,Bathroom
11,1,Dining Room
12,2,Dining Room
13,2,Guest Room
14,2,Kitchen
15,2,Dining Room
16,2,Dining Room
17,2,Guest Room
18,2,Balcony
19,2,Dining Room
20,2,Dining Room
21,2,Bedroom
22,3,Kitchen
23,3,Dining Room
24,3,Balcony
25,3,Guest Room
26,3,Kitchen
27,3,Living Room
28,4,Balcony
29,4,Kitchen
30,4,Balcony
31,4,Living Room
32,4,Study
33,4,Kitchen
34,5,Balcony
35,5,Balcony
36,5,Bedroom
37,5,Guest Room
38,5,Guest Room
39,5,Bedroom
40,5,Living Room
41,5,Guest Room
42,5,Study
43,5,Guest Room
44,6,Kitchen
45,6,Bathroom
46,6,Bedroom
47,6,Bathroom
48,6,Bedroom
49,6,Study
50,6,Kitchen
51,6,Living Room
52,6,Guest Room
53,6,Dining Room
54,6,Bathroom
55,6,Living Room
56,7,Balcony
57,7,Bathroom
58,7,Kitchen
59,7,Balcony
60,7,Study
61,7,Guest Room
62,7,Study
63,7,Bathroom
64,7,Study
65,7,Study
66,8,Living Room
67,8,Living Room
68,8,Dining Room
69,8,Guest Room
70,8,Study
71,8,Study
72,8,Kitchen
73,9,Guest Room
74,9,Bedroom
75,9,Guest Room
76,9,Dining Room
77,9,Study
78,9,Bedroom
79,9,Living Room
80,9,Bedroom
81,9,Balcony
82,10,Guest Room
83,10,Guest Room
84,10,Bathroom
85,10,Kitchen
86,10,Kitchen
87,10,Dining Room
88,11,Living Room
89,11,Kitchen
90,11,Balcony
91,11,Study
92,11,Balcony
93,11,Bedroom
94,11,Bedroom
95,11,Bedroom
96,12,Bathroom
97,12,Dining Room
98,12,Study
99,12,Study
100,12,Kitchen
101,12,Living Room
102,13,Guest Room
103,13,Guest Room
104,13,Balcony
105,13,Guest Room
106,13,Kitchen
107,13,Bedroom
108,14,Living Room
109,14,Balcony
110,14,Balcony
111,14,Bathroom
112,14,Guest Room
113,14,Bathroom
114,14,Kitchen
115,14,Study
116,14,Bedroom
117,14,Living Room
118,14,Kitchen
119,14,Study
120,15,Bathroom
121,15,Balcony
122,15,Living Room
123,15,Balcony
124,15,Bedroom
125,15,Guest Room
126,15,Kitchen
127,16,Living Room
128,16,Bedroom
129,16,Bathroom
130,16,Balcony
131,16,Bedroom
132,17,Bedroom
133,17,Study
134,17,Balcony
135,17,Bedroom
136,17,Study
137,17,Living Room
138,17,Kitchen
139,17,Kitchen
140,17,Living Room
141,17,Living Room
142,17,Bathroom
143,18,Bedroom
144,18,Study
145,18,Bedroom
146,18,Living Room
147,18,Balcony
148,18,Guest Room
149,18,Living Room
150,18,Study
151,18,Bedroom
152,19,Balcony
153,19,Study
154,19,Study
155,19,Bathroom
156,19,Living Room
157,19,Study
158,19,Guest Room
159,19,Bathroom
160,19,Study
161,19,Living Room
